Name,Rarity,Set,Type,Health,Defense,Strength,Crit,Lifesteal,Speed,Bonus AS,Bonus Projectiles,Projectile speed,Range,AOE,Knockback,Description
Fire Spirit Helmet+,Uncommon,Fire Spirit,Helmet,,,15,,,,,,,,,3,
Fire Spirit Helmet++,Uncommon,Fire Spirit,Helmet,,,20,,,,,,,,,5,
Fire Spirit Chestplate,Uncommon,Fire Spirit,Chestplate,,,10,,,,,,,,,2,
Fire Spirit Chestplate+,Uncommon,Fire Spirit,Chestplate,,,15,,,,,,,,,3,
Fire Spirit Chestplate++,Uncommon,Fire Spirit,Chestplate,,,20,,,,,,,,,5,
Fire Spirit Pants,Uncommon,Fire Spirit,Pants,,,10,,,,,,,,,2,
Fire Spirit Pants+,Uncommon,Fire Spirit,Pants,,,15,,,,,,,,,3,
Fire Spirit Pants++,Uncommon,Fire Spirit,Pants,,,20,,,,,,,,,5,
Ultraheavy Helmet,Rare,Ultraheavy,Helmet,,50,,,,,,,,,,5,
Ultraheavy Helmet+,Rare,Ultraheavy,Helmet,,60,,,,,,,,,,7,
Ultraheavy Helmet++,Rare,Ultraheavy,Helmet,,75,,,,,,,,,,9,
Ultraheavy Armor,Rare,Ultraheavy,Chestplate,,50,,,,,,,,,,5,
Ultraheavy Armor+,Rare,Ultraheavy,Chestplate,,60,,,,,,,,,,7,
Ultraheavy Armor++,Rare,Ultraheavy,Chestplate,,75,,,,,,,,,,9,
Ultraheavy Boots,Rare,Ultraheavy,Pants,,50,,,,,,,,,,5,
Ultraheavy Boots+,Rare,Ultraheavy,Pants,,60,,,,,,,,,,7,
Ultraheavy Boots++,Rare,Ultraheavy,Pants,,75,,,,,,,,,,9,
Muscle Suit,Rare,Muscle,Chestplate,,,20,,,,,,,,,3,
Muscle Suit+,Rare,Muscle,Chestplate,,,30,,,,,,,,,3,
Muscle Suit++,Rare,Muscle,Chestplate,,,40,,,,,,,,,5,
Precision Goggles,Rare,Precision,Helmet,,,,20,,,,,,4,,,
Precision Goggles+,Rare,Precision,Helmet,,,,25,,,,,,5,,,
Precision Goggles++,Rare,Precision,Helmet,,,,35,,,,,,6,,,
Precision Vest,Rare,Precision,Chestplate,,,,20,,,,,,4,,,
Precision Vest+,Rare,Precision,Chestplate,,,,25,,,,,,5,,,
Precision Vest++,Rare,Precision,Chestplate,,,,35,,,,,,6,,,
Precision Pants,Rare,Precision,Pants,,,,20,,,,,,4,,,
Precision Pants+,Rare,Precision,Pants,,,,25,,,,,,5,,,
Precision Pants++,Rare,Precision,Pants,,,,35,,,,,,6,,,
SwiftStrike Helmet,Rare,Swiftstrike,Helmet,,,15,,,,0.75,,,,,,
SwiftStrike Helmet+,Rare,Swiftstrike,Helmet,,,20,,,,1,,,,,,
SwiftStrike Helmet++,Rare,Swiftstrike,Helmet,,,35,,,,1.25,,,,,,
SwiftStrike Suit,Rare,Swiftstrike,Chestplate,,,15,,,,0.75,,,,,,
SwiftStrike Suit+,Rare,Swiftstrike,Chestplate,,,20,,,,1,,,,,,
SwiftStrike Suit++,Rare,Swiftstrike,Chestplate,,,35,,,,1.25,,,,,,
SwiftStrike Leggings,Rare,Swiftstrike,Pants,,,15,,,,0.75,,,,,,
SwiftStrike Leggings+,Rare,Swiftstrike,Pants,,,20,,,,1,,,,,,
SwiftStrike Leggings++,Rare,Swiftstrike,Pants,,,35,,,,1.25,,,,,,
Sniper Helmet,Rare,Sniper,Helmet,,,20,,,,,,4,3,,,
Sniper Helmet+,Rare,Sniper,Helmet,,,25,,,,,,5,4,,,
Sniper Helmet++,Rare,Sniper,Helmet,,,35,,,,,,6,5,,,
Sniper Uniform,Rare,Sniper,Chestplate,,,20,,,,,,4,3,,,
Sniper Uniform+,Rare,Sniper,Chestplate,,,25,,,,,,5,4,,,
Sniper Uniform++,Rare,Sniper,Chestplate,,,35,,,,,,6,5,,,
Sniper Trousers,Rare,Sniper,Pants,,,20,,,,,,4,3,,,
Sniper Trousers+,Rare,Sniper,Pants,,,25,,,,,,5,4,,,
Sniper Trousers++,Rare,Sniper,Pants,,,35,,,,,,6,5,,,
Berzerker Helm,Epic,Berzerker,Helmet,,,30,20,,,0.5,,,,,1,
Berzerker Helm+,Epic,Berzerker,Helmet,,,40,25,,,0.75,,,,,1,
Berzerker Helm++,Epic,Berzerker,Helmet,,,50,30,,,1,,,,,1,
Berzerker Chestplate,Epic,Berzerker,Chestplate,,,30,20,,,0.5,,,,,2,
Berzerker Chestplate+,Epic,Berzerker,Chestplate,,,40,25,,,0.75,,,,,2,
Berzerker Chestplate++,Epic,Berzerker,Chestplate,,,50,30,,,1,,,,,2,
Berzerker Pants,Epic,Berzerker,Pants,,,30,20,,,0.5,,,,,1,
Berzerker Pants+,Epic,Berzerker,Pants,,,40,25,,,0.75,,,,,1,
Berzerker Pants++,Epic,Berzerker,Pants,,,50,30,,,1,,,,,1,
Bloodsucker's Suit,Epic,Bloodsucker,Chestplate,200,,,,2,,,,,,,,
Bloodsucker's Suit+,Epic,Bloodsucker,Chestplate,300,,,,3,,,,,,,,
Bloodsucker's Suit++,Epic,Bloodsucker,Chestplate,500,,,,5,,,,,,,,
Gunslinger Hat,Epic,Gunslinger,Helmet,,,,,,,0.5,1,4,,,,
Gunslinger Hat+,Epic,Gunslinger,Helmet,,,,,,,0.75,1,5,,,,
Gunslinger Hat++,Epic,Gunslinger,Helmet,,,,,,,1.25,1,6,,,,
Gunslinger Robe,Epic,Gunslinger,Chestplate,,,,,,,0.5,1,4,,,,
Gunslinger Robe+,Epic,Gunslinger,Chestplate,,,,,,,0.75,1,5,,,,
Gunslinger Robe++,Epic,Gunslinger,Chestplate,,,,,,,1.25,1,6,,,,
Gunslinger Boots,Epic,Gunslinger,Pants,,,,,,,0.5,1,3,,,,
Gunslinger Boots+,Epic,Gunslinger,Pants,,,,,,,0.75,1,4,,,,
Gunslinger Boots++,Epic,Gunslinger,Pants,,,,,,,1.25,1,5,,,,
Anarchist Mask,Epic,Anarchist,Helmet,,,15,,,,0.5,,,,1,,
Anarchist Mask+,Epic,Anarchist,Helmet,,,25,,,,0.75,,,,2,,
Anarchist Mask++,Epic,Anarchist,Helmet,,,40,,,,1.25,,,,3,,
Anarchist Shirt,Epic,Anarchist,Chestplate,,,15,,,,0.5,,,,1,,
Anarchist Shirt+,Epic,Anarchist,Chestplate,,,25,,,,0.75,,,,2,,
Anarchist Shirt++,Epic,Anarchist,Chestplate,,,40,,,,1.25,,,,3,,
Anarchist Shoes,Epic,Anarchist,Pants,,,15,,,,0.5,,,,1,,
Anarchist Shoes+,Epic,Anarchist,Pants,,,25,,,,0.75,,,,2,,
Anarchist Shoes++,Epic,Anarchist,Pants,,,40,,,,1.25,,,,3,,
